# Connected variance of bond-current increments, Var_c[Q(t0+t)-Q(t0)], vs lag t (sweeps).
# sem = ring-to-ring standard error. Runs: kpz_ring.c (see header of each raw file).

## q_E0_L1024.txt  (E=0.0 L=1024 16 rings 3e5 sweeps)
# t_sweeps   Var_c      sem
        16        1.1271      0.0025
        24        1.3806      0.0029
        32        1.5920      0.0033
        48        1.9500      0.0049
        72        2.3847      0.0067
       104        2.8651      0.0099
       144        3.3712      0.0164
       208        4.0425      0.0271
       304        4.8906      0.0484
       440        5.9066      0.0718
       632        7.0978      0.0928
       912        8.5342      0.1175
      1320       10.3021      0.1479
      1904       12.4768      0.2208
      2744       15.3187      0.3399
      3968       18.7846      0.4773
      5728       22.4473      0.6841
      8272       26.8085      1.0515
     11944       31.4803      1.5102
     17240       36.8856      2.3273
     24904       46.0775      3.3971
     35960       53.7139      5.3032
     51936       64.4357      7.3586
     75000       65.7216      8.3827

## q_E03_L512.txt  (E=0.3 L=512 32 rings 4e5 sweeps)
# t_sweeps   Var_c      sem
        16        1.0726      0.0013
        24        1.3226      0.0017
        32        1.5355      0.0019
        48        1.8925      0.0026
        72        2.3375      0.0037
       104        2.8331      0.0058
       160        3.5635      0.0087
       232        4.3526      0.0147
       336        5.3140      0.0196
       488        6.4774      0.0289
       712        7.9018      0.0427
      1048        9.6964      0.0703
      1528       11.8529      0.1220
      2240       14.6100      0.1980
      3272       17.9652      0.2804
      4784       21.9143      0.4268
      6992       26.7661      0.6605
     10224       32.4333      0.9570
     14952       39.5683      1.2926
     21872       48.0492      1.7907
     31976       59.4966      2.4436
     46768       73.6144      3.7761
     68384       88.5370      6.6555
    100000      107.3887     11.1438

## q_E03_L1024.txt  (E=0.3 L=1024 32 rings 1.5e6 sweeps)
# t_sweeps   Var_c      sem
        32        1.5313      0.0016
        48        1.8896      0.0021
        80        2.4644      0.0033
       112        2.9408      0.0039
       160        3.5446      0.0049
       240        4.3939      0.0075
       368        5.5233      0.0128
       560        6.9386      0.0190
       832        8.6127      0.0264
      1248       10.7765      0.0375
      1888       13.5315      0.0618
      2832       16.9661      0.1080
      4240       21.4431      0.1675
      6384       27.2550      0.2415
      9584       34.5383      0.4181
     14416       44.0260      0.7770
     21664       55.4457      1.1086
     32560       69.0200      1.6766
     48928       85.8105      2.5706
     73520      106.3977      3.5142
    110480      134.3584      5.7692
    166032      169.8571      9.5179
    249520      208.2898     14.7675
    374992      245.6072     22.5344

## q_E06_L512.txt  (E=0.6 L=512 32 rings 2e5 sweeps)
# t_sweeps   Var_c      sem
         8        0.7304      0.0007
        12        0.9069      0.0013
        16        1.0586      0.0016
        24        1.3159      0.0023
        36        1.6411      0.0037
        52        2.0058      0.0051
        80        2.5471      0.0076
       116        3.1388      0.0104
       168        3.8594      0.0166
       244        4.7896      0.0277
       356        5.9681      0.0440
       524        7.4554      0.0729
       764        9.3028      0.1214
      1120       11.6058      0.1890
      1636       14.3559      0.2624
      2392       17.7453      0.3864
      3496       22.0535      0.5479
      5112       27.2877      0.8027
      7476       33.9260      1.0677
     10936       42.9110      1.6257
     15988       55.2674      2.7229
     23384       73.5680      4.7630
     34192       95.9010      7.4638
     50000      122.2729     12.1047

## q_E06_L512_big.txt  (E=0.6 L=512 128 rings 4e5 sweeps)
# t_sweeps   Var_c      sem
        16        1.0600      0.0007
        24        1.3189      0.0009
        32        1.5430      0.0011
        48        1.9272      0.0019
        72        2.4106      0.0029
       104        2.9601      0.0043
       160        3.7722      0.0066
       232        4.6692      0.0094
       336        5.7744      0.0133
       488        7.1613      0.0198
       712        8.9024      0.0316
      1048       11.1320      0.0507
      1528       13.8214      0.0775
      2240       17.1104      0.1153
      3272       21.1530      0.1638
      4784       26.2575      0.2406
      6992       32.4061      0.3373
     10224       40.3494      0.5215
     14952       50.2107      0.8104
     21872       63.3642      1.2256
     31976       81.0876      1.8562
     46768      104.6070      3.0122
     68384      135.4186      4.9334
    100000      167.9486      8.4868
